"""%Y-%m-%d""";X.DJI.Close;X.GDAXI.Close
2002-09-05;-0.01693;-0.021
2002-09-06;0.01717;0.0383
2002-09-09;0.01088;-0.01633
2002-09-10;0.009722;0.01891
2002-09-11;-0.002495;0.02543
2002-09-12;-0.02379;-0.04648
2002-09-13;-0.007994;-0.01787
2002-09-16;0.008086;-0.01264
2002-09-17;-0.02081;-0.009056
2002-09-18;-0.004286;-0.05121
2002-09-19;-0.02855;-0.03831
2002-09-20;0.005478;0.01919
2002-09-23;-0.01436;-0.05067
2002-09-24;-0.0243;-0.01418
2002-09-25;0.02044;0.0306
2002-09-26;0.01961;0.01942
2002-09-27;-0.03767;-0.03425
2002-09-30;-0.01432;-0.05271
2002-10-01;0.04468;0.03415
2002-10-02;-0.02334;0.02124
2002-10-03;-0.004966;-0.03953
2002-10-04;-0.02477;-0.03571
2002-10-07;-0.01412;-0.01755
2002-10-08;0.01054;-0.01713
2002-10-09;-0.02911;-0.009276
2002-10-10;0.03343;0.05077
2002-10-11;0.04113;0.06979
2002-10-14;0.003447;-0.0279
2002-10-15;0.0469;0.06722
2002-10-16;-0.02697;-0.01299
2002-10-17;0.02931;0.05292
2002-10-18;0.005707;-0.002775
2002-10-21;0.0256;0.03692
2002-10-22;-0.01037;-0.03936
2002-10-23;0.005206;-0.04556
2002-10-24;-0.02105;0.02444
2002-10-25;0.01511;0.003876
2002-10-28;-0.009035;0.03078
2002-10-29;0.0001075;-0.0569
2002-10-30;0.006962;0.02985
2002-10-31;-0.003611;0.01253
2002-11-01;0.01426;0.003897
2002-11-04;0.006315;0.05015
2002-11-05;0.01237;0.007001
2002-11-06;0.01063;-0.01578
2002-11-07;-0.02129;-0.04437
2002-11-08;-0.005736;-0.02456
2002-11-11;-0.02109;-0.0121
2002-11-12;0.003231;0.02398
2002-11-13;0.001488;-0.016
2002-11-14;0.01696;0.03901
2002-11-15;0.004317;0.001056
2002-11-18;-0.01084;0.008299
2002-11-19;-0.00139;-0.003558
2002-11-20;0.01734;0.001888
2002-11-21;0.02544;0.02812
2002-11-22;-0.004568;0.004905
2002-11-25;0.005048;-0.006538
2002-11-26;-0.01974;-0.03316
2002-11-27;0.029;0.04728
2002-11-28;0;0.00436
2002-11-29;-0.003993;-0.01211
2002-12-02;-0.003775;0.01787
2002-12-03;-0.01359;-0.02994
2002-12-04;-0.0005812;0.0122
2002-12-05;-0.0132;-0.02934
2002-12-06;0.002605;-0.005351
2002-12-09;-0.02014;-0.04527
2002-12-10;0.01183;0.03286
2002-12-11;0.001734;0.008818
2002-12-12;-0.005925;-0.02669
2002-12-13;-0.01234;-0.01125
2002-12-16;0.02271;0.04083
2002-12-17;-0.01072;-0.02059
2002-12-18;-0.01037;-0.03807
2002-12-19;-0.00982;-0.02048
2002-12-20;0.01736;0.02099
2002-12-23;-0.002121;-0.007761
2002-12-24;-0.005334;0
2002-12-25;0;0
2002-12-26;-0.001836;0
2002-12-27;-0.0154;-0.05509
2002-12-30;0.003495;0.01836
2002-12-31;0.001053;0
2003-01-01;0;0
2003-01-02;0.03138;0.07086
2003-01-03;-0.0006775;-0.003905
2003-01-06;0.01979;0.02058
2003-01-07;-0.003766;-0.01419
2003-01-08;-0.01676;-0.03924
2003-01-09;0.02082;0.01482
2003-01-10;0.000992;-0.0001152
2003-01-13;0.0001241;0.007648
2003-01-14;0.006426;0.01236
2003-01-15;-0.0136;-0.01604
2003-01-16;-0.002906;0.001543
2003-01-17;-0.01286;-0.04531
2003-01-20;0;-0.008695
2003-01-21;-0.01689;-0.007974
2003-01-22;-0.01482;-0.02373
2003-01-23;0.006081;0.002839
2003-01-24;-0.02891;-0.03379
2003-01-27;-0.01755;-0.02761
2003-01-28;0.01235;0.01037
2003-01-29;0.0027;0.01309
2003-01-30;-0.02063;-0.004737
2003-01-31;0.01359;0.01987
2003-02-03;0.00693;0.001513
2003-02-04;-0.01197;-0.04421
2003-02-05;-0.003514;0.03468
2003-02-06;-0.007023;-0.02861
2003-02-07;-0.00824;-0.03053
2003-02-10;0.00708;0.006498
2003-02-11;-0.00977;0.0157
2003-02-12;-0.01089;-0.02145
2003-02-13;-0.00107;-0.006234
2003-02-14;0.0203;0.04559
2003-02-17;0;0.01282
2003-02-18;0.0166;0.01144
2003-02-19;-0.005056;-0.04306
2003-02-20;-0.01076;-0.0128
2003-02-21;0.01295;0.02199
2003-02-24;-0.02014;-0.0297
2003-02-25;0.006502;-0.03396
2003-02-26;-0.01305;-0.0143
2003-02-27;0.009943;0.0254
2003-02-28;0.0007721;0.01337
2003-03-03;-0.006767;0.00102
2003-03-04;-0.01711;-0.01925
2003-03-05;0.009138;-0.001204
2003-03-06;-0.01315;-0.02452
2003-03-07;0.008569;-0.002403
2003-03-10;-0.02245;-0.04312
2003-03-11;-0.005847;-0.01025
2003-03-12;0.003716;-0.04541
2003-03-13;0.03509;0.06645
2003-03-14;0.004841;0.02055
2003-03-17;0.03528;0.03433
2003-03-18;0.006404;0.03845
2003-03-19;0.008654;0.01177
2003-03-20;0.002556;-0.003973
2003-03-21;0.02801;0.04144
2003-03-24;-0.03672;-0.06336
2003-03-25;0.007948;0.03385
2003-03-26;-0.006099;-0.02177
2003-03-27;-0.00346;0.001828
2003-03-28;-0.006812;-0.02477
2003-03-31;-0.01904;-0.03923
2003-04-01;0.009679;0.0108
2003-04-02;0.02632;0.05524
2003-04-03;-0.005407;-0.007575
2003-04-04;0.004452;0.03226
2003-04-07;0.002806;0.05671
2003-04-08;-0.0001795;-0.01476
2003-04-09;-0.01224;-0.01225
2003-04-10;0.002849;-0.01363
2003-04-11;-0.002182;0.01357
2003-04-14;0.01784;0.01554
2003-04-15;0.006119;0.02044
2003-04-16;-0.01738;-0.003336
2003-04-17;0.009646;0.02624
2003-04-18;0;0
2003-04-21;-0.00105;0
2003-04-22;0.01857;0.02088
2003-04-23;0.003608;0.004529
2003-04-24;-0.00892;-0.02823
2003-04-25;-0.01597;-0.01864
2003-04-28;0.0197;0.03995
2003-04-29;0.003697;-0.01534
2003-04-30;-0.002697;0.01131
2003-05-01;-0.003052;0
2003-05-02;0.01508;0.01483
2003-05-05;-0.005973;0.009015
2003-05-06;0.006634;0.01773
2003-05-07;-0.003234;-0.02019
2003-05-08;-0.008141;-0.04059
2003-05-09;0.01326;0.02414
2003-05-12;0.01409;-0.006559
2003-05-13;-0.005456;-0.009341
2003-05-14;-0.003628;0.005511
2003-05-15;0.007525;0.02142
2003-05-16;-0.003929;-0.0001004
2003-05-19;-0.02161;-0.04741
2003-05-20;-0.000239;-0.00413
2003-05-21;0.002948;-0.004123
2003-05-22;0.009069;0.01334
2003-05-23;0.000856;-0.0149
2003-05-26;0;0.001929
2003-05-27;0.02071;0.0159
2003-05-28;0.001339;0.01586
2003-05-29;-0.009362;-0.004404
2003-05-30;0.01584;0.0258
2003-06-02;0.005358;0.02708
2003-06-03;0.002821;-0.01239
2003-06-04;0.01292;0.01742
2003-06-05;0.0002566;-0.01316
2003-06-06;0.002374;0.02844
2003-06-09;-0.009177;-0.01051
2003-06-10;0.008305;0.01462
2003-06-11;0.01407;0.01197
2003-06-12;0.001451;0.01292
2003-06-13;-0.008674;-0.01589
2003-06-16;0.0219;0.02978
2003-06-17;0.0004356;0.00671
2003-06-18;-0.003139;0.005362
2003-06-19;-0.01237;-0.01741
2003-06-20;0.002309;-0.002507
2003-06-23;-0.01399;-0.01637
2003-06-24;0.004059;0.009666
2003-06-25;-0.01085;-0.005773
2003-06-26;0.007464;0.01317
2003-06-27;-0.009961;-0.005122
2003-06-30;-0.0004017;-0.001266
2003-07-01;0.006159;-0.02325
2003-07-02;0.01121;0.02959
2003-07-03;-0.007976;0.0002715
2003-07-04;0;-0.0007128
2003-07-07;0.01603;0.02838
2003-07-08;0.0006833;0.003471
2003-07-09;-0.007278;-0.006609
2003-07-10;-0.01321;-0.01596
